89,711.969,559.735,3.037,2.052,0.466,
90,984.802,693.732,3.061,2.061,0.47,
91,984.802,693.732,3.105,2.098,0.476,
92,985.06,693.869,3.119,2.11,0.479,
93,985.06,693.869,3.152,2.14,0.483,
94,985.06,693.869,3.177,2.163,0.487,
95,985.06,693.869,3.239,2.193,0.491,
96,985.06,693.869,3.299,2.235,0.499,
97,985.072,693.874,3.32,2.241,0.506,
98,985.072,693.874,3.394,2.297,0.513,
99,985.072,693.874,3.457,2.347,0.522,
100,985.072,693.874,3.514,2.384,0.527,
101,985.072,693.874,3.542,2.401,0.53,
102,985.072,693.874,3.604,2.445,0.539,
103,985.556,694.11,3.615,2.452,0.544,
104,985.563,694.116,3.633,2.458,0.549,
105,985.563,694.116,3.747,2.478,0.553,
106,985.563,694.116,3.779,2.502,0.557,
107,985.563,694.116,3.814,2.522,0.561,
108,985.588,694.13,3.958,2.53,0.566,
109,985.588,694.13,3.993,2.561,0.57,
110,985.588,694.13,4.013,2.573,0.573,
111,985.588,694.13,4.058,2.597,0.579,
112,1080.023,743.501,4.07,2.606,0.582,
113,1080.023,743.501,4.091,2.625,0.586,
114,1080.023,743.501,4.138,2.668,0.591,
115,1080.023,743.501,4.224,2.685,0.594,
116,1080.023,743.501,4.272,2.707,0.598,
117,1080.023,743.501,4.312,2.73,0.604,
118,1080.023,743.501,4.342,2.748,0.609,
119,1084.818,746.065,4.354,2.758,0.613,
120,1084.818,746.065,4.412,2.807,0.618,
121,1084.818,746.065,4.47,2.86,0.623,
122,1084.818,746.065,4.526,2.893,0.627,
123,1084.818,746.065,4.572,2.937,0.632,
124,1084.818,746.065,4.6,2.948,0.636,
125,1084.818,746.065,4.633,2.977,0.64,
126,1084.818,746.065,4.664,2.992,0.643,
127,1086.387,746.922,4.68,3.006,0.647,
128,1086.387,746.922,4.707,3.023,0.651,
129,1086.387,746.922,4.782,3.046,0.655,
130,1086.387,746.922,4.83,3.075,0.659,
131,1086.387,746.922,4.853,3.086,0.666,
132,1086.387,746.922,4.921,3.12,0.673,
133,1086.387,746.922,5.004,3.166,0.679,
134,1086.612,747.041,5.015,3.174,0.685,
135,1086.612,747.041,5.039,3.2,0.690000000000001,
136,1087.521,747.641,5.056,3.215,0.694000000000001,
137,1087.521,747.641,5.088,3.276,0.700000000000001,
138,1087.521,747.641,5.205,3.316,0.706000000000001,
139,1087.521,747.641,5.24,3.334,0.710000000000001,
140,1087.521,1018.839,5.252,3.341,0.714000000000001,
141,1088.099,1019.155,5.292,3.353,0.718000000000001,
142,1150.186,1050.006,5.327,3.361,0.722000000000001,
143,1150.186,1050.006,5.401,3.393,0.726000000000001,
144,1150.186,1050.006,5.429,3.414,0.730000000000001,
145,1150.198,1050.009,5.442,3.419,0.734000000000001,
146,1150.198,1050.009,5.456,3.429,0.738000000000001,
147,1150.198,1050.009,5.502,3.471,0.744000000000001,
148,1150.198,1050.009,5.539,3.493,0.749000000000001,
149,1150.198,1050.009,5.569,3.52,0.753000000000001,
150,1150.198,1050.009,5.594,3.542,0.758000000000001,
